type,x1,y1,x2,y2,fillcolour,outline colour,width,text,font,anchor,name,number
rectangle,200,15,770,585,#7092ba,#ffc90e,4,,,,,0
rectangle,200,15,238,53,white,black,1,,1a,0,white,1
rectangle,238,15,276,53,white,black,1,,2a,1,white,2
rectangle,276,15,314,53,white,black,1,,3a,2,white,3
rectangle,314,15,352,53,white,black,1,,4a,3,white,4
rectangle,352,15,390,53,white,black,1,,5a,4,white,5
rectangle,390,15,428,53,white,black,1,,6a,5,white,6
rectangle,428,15,466,53,white,black,1,,7a,6,white,7
rectangle,466,15,504,53,white,black,1,,8a,7,black,8
rectangle,504,15,542,53,white,black,1,,9a,8,white,9
rectangle,542,15,580,53,white,black,1,,10a,9,white,10
rectangle,580,15,618,53,white,black,1,,11a,10,white,11
rectangle,618,15,656,53,white,black,1,,12a,11,white,12
rectangle,656,15,694,53,white,black,1,,13a,12,white,13
rectangle,694,15,732,53,white,black,1,,14a,13,white,14
rectangle,732,15,770,53,white,black,1,,15a,14,white,15
rectangle,200,53,238,91,white,black,1,,1b,15,white,16
rectangle,238,53,276,91,white,black,1,,2b,16,white,17
rectangle,276,53,314,91,white,black,1,,3b,17,white,18
rectangle,314,53,352,91,white,black,1,,4b,18,white,19
rectangle,352,53,390,91,white,black,1,,5b,19,white,20
rectangle,390,53,428,91,white,black,1,,6b,20,white,21
rectangle,428,53,466,91,white,black,1,,7b,21,black,22
rectangle,466,53,504,91,white,black,1,,8b,22,yellow,23
rectangle,504,53,542,91,white,black,1,,9b,23,black,24
rectangle,542,53,580,91,white,black,1,,10b,24,white,25
rectangle,580,53,618,91,white,black,1,,11b,25,white,26
rectangle,618,53,656,91,white,black,1,,12b,26,white,27
rectangle,656,53,694,91,white,black,1,,13b,27,white,28
rectangle,694,53,732,91,white,black,1,,14b,28,white,29
rectangle,732,53,770,91,white,black,1,,15b,29,white,30
rectangle,200,91,238,129,white,black,1,,1c,30,white,31
rectangle,238,91,276,129,white,black,1,,2c,31,white,32
rectangle,276,91,314,129,white,black,1,,3c,32,white,33
rectangle,314,91,352,129,white,black,1,,4c,33,white,34
rectangle,352,91,390,129,white,black,1,,5c,34,white,35
rectangle,390,91,428,129,white,black,1,,6c,35,white,36
rectangle,428,91,466,129,white,black,1,,7c,36,black,37
rectangle,466,91,504,129,white,black,1,,8c,37,yellow,38
rectangle,504,91,542,129,white,black,1,,9c,38,black,39
rectangle,542,91,580,129,white,black,1,,10c,39,white,40
rectangle,580,91,618,129,white,black,1,,11c,40,white,41
rectangle,618,91,656,129,white,black,1,,12c,41,white,42
rectangle,656,91,694,129,white,black,1,,13c,42,white,43
rectangle,694,91,732,129,white,black,1,,14c,43,white,44
rectangle,732,91,770,129,white,black,1,,15c,44,white,45
rectangle,200,129,238,167,white,black,1,,1d,45,white,46
rectangle,238,129,276,167,white,black,1,,2d,46,white,47
rectangle,276,129,314,167,white,black,1,,3d,47,white,48
rectangle,314,129,352,167,white,black,1,,4d,48,white,49
rectangle,352,129,390,167,white,black,1,,5d,49,white,50
rectangle,390,129,428,167,white,black,1,,6d,50,black,51
rectangle,428,129,466,167,white,black,1,,7d,51,yellow,52
rectangle,466,129,504,167,white,black,1,,8d,52,yellow,53
